#-----------------------------------------------------------
# xsim v2020.2 (64-bit)
# SW Build 3064766 on Wed Nov 18 09:12:45 MST 2020
# IP Build 3064653 on Wed Nov 18 14:17:31 MST 2020
# Start of session at: Wed May 22 22:46:35 2024
# Process ID: 10104
# Current directory: C:/Users/atomi/GitHub/hw-viv/div_archive
# Command line: xsim.exe -mode tcl -source {xsim.dir/div_tb_snapshot_p2/xsim_script.tcl}
# Log file: C:/Users/atomi/GitHub/hw-viv/div_archive/xsim.log
# Journal file: C:/Users/atomi/GitHub/hw-viv/div_archive\xsim.jou
#-----------------------------------------------------------
source xsim.dir/div_tb_snapshot_p2/xsim_script.tcl
# xsim {div_tb_snapshot_p2} -autoloadwcfg -runall
Vivado Simulator 2020.2
Time resolution is 1 ps
run -all
start of checking module div32p2
q  1092792329329581750  316931648  949938209           3448037885
r  1092792329329581750  316931648  112343488             70097270
q    13815822012668942   20966494 4239731786            658947652
r    13815822012668942   20966494    7308500             20696854
q   155989292452592419  166433875 1983561197            937244851
r   155989292452592419  166433875  127428649             76864794
q   179374916549828454   72186655 3723784191           2484876415
r   179374916549828454   72186655   31714079             62586629
q    49781228534758571   18095871 3677992602           2750971673
r    49781228534758571   18095871    1380506             15496388
q     7904712188099814    4513014 3018883461           1751537262
r     7904712188099814    4513014    4275762              3172146
q    20117960068252244    6881242  761065656           2923594326
r    20117960068252244    6881242    5487440              1219352
q     3236182672272297    3286507 2323758584            984687594
r     3236182672272297    3286507     116056              1778139
q     6630955628778741    2593909 3365385543           2556356305
r     6630955628778741    2593909     793229              2032496
q     1400603756411226    1489250 4287688130            940475914
r     1400603756411226    1489250     510396              1486726
q      185062372407358     214640 1642388770            862198902
r      185062372407358     214640     128288                82078
q      423266021576269     194922 3734701479           2171463567
r      423266021576269     194922     145882               169495
q      209951005014125      90674 3294620842           2315448805
r      209951005014125      90674      45772                69555
q      137771663784178      70409 4099034461           1956733709
r      137771663784178      70409      24763                67197
q       69984805780358      22113  214816344           3164871604
